Rank,College Name,Avg_Doc_DSS,Risk_Score,Rank_Score
1,Indian Institute of Technology Jammu,97.14,87.23,92.18
2,Indian Institute of Technology Palakkad,98.85,81.8,90.33
3,Indian Institute of Technology Tirupati,96.97,83.69,90.33
4,Indian Institute of Technology Bhilai,98.22,82.14,90.18
5,National Institute of Technical Teachers Training and Research,95.92,83.97,89.95
6,National Institute of Technology Mizoram,99.9,77.89,88.9
7,Indian Institute of Technology Ropar,99.82,77.85,88.83
8,Indian Institute of Technology Dharwad,93.25,84.11,88.68
9,Indian Institute of Technology Goa,93.69,83.17,88.43
10,Indian Institute of Technology Bhubaneswar,96.95,79.72,88.33
11,Visvesvaraya National Institute of Technology Nagpur,97.43,75.17,86.3
12,International Institute of Technology and Business,98.19,73.96,86.08
13,Indian Institute of Technology Patna,95.09,77.05,86.07
14,National Institute of Technology Agartala,99.01,73.01,86.01
15,National Institute of Technology Nagaland,92.57,78.3,85.43
16,National Institute of Technology Goa,99.54,70.5,85.02
17,National Institute of Technology Durgapur,97.45,72.17,84.81
18,Indian Institute of Technology Mandi,93.64,75.95,84.8
19,Maulana Azad National Institute of Technology Bhopal,99.38,69.93,84.65
20,National Institute of Technology Puducherry Karaikal,96.45,72.81,84.63
21,Homi Bhabha National Institute,97.85,71.29,84.57
22,National Institute of Food Technology Entrepreneurship and Management,98.98,69.99,84.48
23,Indian Institute of Technology Hyderabad,90.81,78.08,84.45
24,Indian Institute of Technology Guwahati,97.33,71.08,84.21
25,Malaviya National Institute of Technology Jaipur,99.17,69.11,84.14
26,Sardar Vallabhbhai National Institute of Technology Surat,99.85,68.36,84.11
27,National Institute of Fashion Technology,98.79,69.27,84.03
28,SR International Institute of Technology,99.46,68.25,83.85
29,National Institute of Pharmaceutical Education and Research SAS Nagar,95.17,72.48,83.83
30,National Institute of Technology Manipur,91.46,76.06,83.76
31,National Institute of Technology Silchar,95.81,71.04,83.42
32,Indian Institute of Technology Jodhpur,90.49,75.83,83.16
33,Indian Institute of Technology Indore,97.12,69.07,83.1
34,BRM International Institute of Technology,92.64,73.46,83.05
35,National Institute of Technical Teachers Training and Research,96.59,69.35,82.97
36,National Institute of Technology Sikkim,99.99,65.95,82.97
37,Indian Institute of Technology Indian School of Mines Dhanbad,94.3,71.59,82.94
38,National Institute of Technology Arunachal Pradesh,99.05,66.84,82.94
39,Maharishi Arvind International Institute of Technology,95.44,70.06,82.75
40,National Institute of Technology Andhra Pradesh,93.04,72.06,82.55
41,National Institute of Technology Srinagar,95.98,68.73,82.36
42,National Institute of Technology Rourkela,99.12,65.48,82.3
43,National Institute of Technology Uttarakhand,98.87,64.91,81.89
44,Satyam International Institute of Technology,97.67,66.04,81.85
45,International Institute of Engineering and Technology,96.98,66.7,81.84
46,International Institute of Information Technology Bangalore,94.81,68.75,81.78
47,Indian Institute of Technology Gandhinagar,90.84,71.92,81.38
48,National Institute of Technology Raipur,95.24,67.08,81.16
49,National Institute of Technology Jamshedpur,92.83,69.3,81.07
50,International Institute of Technology and Management,95.17,66.74,80.96
51,Maa Buddha National Institute of Engineering and Technology,95.42,66.31,80.87
52,Dr Shyama Prasad Mukherjee International Institute of Information Technology,94.51,66.86,80.69
53,National Institute of Electronics and Information Technology,90.45,70.79,80.62
