College Name,Overall_Performance_Score,Placement_Rate,Avg_Doc_DSS,Fund_Utilization,Infrastructure_Quality
Indian Institute Of Technology Jammu,90.17198729232311,98.12384296576676,97.13997263316404,99.6374487513284,63.121387283237
Indian Institute Of Technology Dharwad,89.20537034400724,93.94388082809276,93.24823087142914,97.4781685924206,66.11111111111111
Indian Institute Of Technology Goa,88.21384887161705,93.9971024913187,93.689541899262,97.18627190666916,61.81818181818181
Indian Institute Of Technology Bhilai,87.48021021877042,92.21538860263374,98.21717371833752,93.05924384640892,61.54613466334165
International Institute Of Technology And Business,82.53573802126057,98.73281566493938,98.1931895181036,96.7689698451155,20.0
Homi Bhabha National Institute,82.2848769178633,97.5899012585524,97.84565306745009,97.43648005031258,20.0
Visvesvaraya National Institute Of Technology Nagpur,82.18932392329782,97.8049969359275,97.4320456953354,99.96943700165912,20.0
Remote Sensing Applications Centre,81.61418917354924,73.546783106781,79.47706809967863,82.12902820572918,75.38461538461539
Brm International Institute Of Technology,81.56280077104944,97.4145479454588,92.63885757141315,98.48951779088134,20.0
Indian Institute Of Technology Ropar,81.45824947454052,98.01037034020148,99.81590429237258,97.9633667768192,20.0
Maharishi Arvind International Institute Of Technology,81.43572681896097,96.41713660974484,95.4430615634179,98.29270415105591,20.0
Indian Institute Of Technology Tirupati,81.27806716629041,97.7861341205206,96.97124617571674,98.5568064010447,20.0
National Institute Of Technical Teachers Training And Research,80.81924857555893,95.22630458883756,96.58583148626649,99.65892976286386,20.0
National Institute Of Technology Arunachal Pradesh,80.77232612132647,97.09981725772596,99.046938890308,94.43488470721373,20.0
Indian Institute Of Technology Palakkad,80.59216455896063,93.95584435011558,98.85046939242434,96.09137738581492,20.0
National Institute Of Fashion Technology,80.53941927347057,94.05378237354678,98.7898842184192,99.31321562430938,20.0
Indian Institute Of Technology Bhubaneswar,80.50178361096785,98.67858429677776,96.94724696513772,95.00982448974416,20.0
National Institute Of Technology Goa,80.49059402369164,97.02985859433508,99.53910718804424,97.27983069443792,20.0
Sr International Institute Of Technology,80.46789463313442,96.19550586230396,99.45986494468276,96.1764025553349,20.0
Govind Ballabh Pant University Of Agriculture And Technology,80.46304620587233,76.03439133262842,57.32731557422238,67.99747197421829,100.0
Indian Institute Of Technology Patna,80.37640738890434,96.98064246255,95.09464521870387,99.51377994708623,20.0
Babu Banarasi Das National Institute Of Technology And Management,80.29244378733402,93.05411215277684,93.54859181811284,98.72727869882284,20.0
Indian Institute Of Technology Hyderabad,80.16948400206827,94.71597049443496,90.8102963157803,99.32171117804651,20.0
International Institute Of Information Technology Bangalore,80.08866323005495,98.6316843740475,94.81053138089258,95.16724982178523,20.0
Scad Institute Of Technology,80.01837274229743,79.25107120674326,65.52764585285982,82.27877522372862,76.80981595092024
National Institute Of Technology Mizoram,79.89332386674856,93.0154609147912,99.90332182525972,97.29518762644368,20.0
National Institute Of Technology Andhra Pradesh,79.8372466361392,98.65948739992538,93.04025728095796,97.39178516273806,20.0
National Institute Of Technology Durgapur,79.82052992523525,96.23777605316748,97.44729543677472,99.68849843108896,20.0
Indian Institute Of Technology Guwahati,79.75706253093382,93.28596961577132,97.3316225069873,99.92163184944738,20.0
National Institute Of Technology Uttarakhand,79.70485247088749,95.75342979440784,98.86883064537328,93.7723144852051,20.0
Meerut International Institute Of Technology,79.68324378189095,93.3390154081934,94.88003282358378,91.66525553109908,20.0
National Institute Of Technology Manipur,79.66853671733173,96.3265454370076,91.45984546894906,99.09254023986348,20.0
Sine International Institute Of Technology,79.63562954812701,94.62848634407592,92.82885810113628,92.78332164428453,20.0
National Institute Of Technology Nagaland,79.57697381768253,96.0432104067498,92.56649610006691,98.93449055522196,20.0
National Institute Of Technology Silchar,79.52539764689305,98.018356723941,95.80689330911542,93.43394457374916,20.0
National Institute Of Technology Sikkim,79.51617299908628,92.29457100792442,99.98647900028163,95.76487534929836,20.0
Indian Institute Of Technology Mandi,79.49273367668745,98.3604851791386,93.64424512377477,91.67414565142587,20.0
National Institute Of Technology Raipur,79.46565212917831,96.88994875064488,95.24209039081384,95.2009754159342,20.0
National Institute Of Electronics And Information Technology,79.3764916801948,93.9827451974214,96.3734847500852,92.06541423017414,20.0
International Institute Of Technology And Management,79.34464573288761,92.97560528408492,95.17041805185346,96.13329423219352,20.0
National Institute Of Technology Rourkela,79.24868188452925,94.76655034408807,99.11812592325862,91.22110547366016,20.0
