College Name,DSS,High_Compliance_Risk,Missing_Docs,Placement_Rate
Sri Sakthi Polytechnic College,40.02515735689771,1,0,69.55692446940779
Amina Institute Of Technology,40.030219876108994,1,0,49.69323188906287
Csi Polytechnic College,40.045628143348814,1,0,42.73879433276894
Smr East Coast College Of Engineering And Technology,40.05248007328912,1,1,41.16898943126959
Jits Polytechnic,40.05427708203536,1,0,45.747314585913614
Sal Institute Of Technology And Engineering Research,40.05465645384775,1,1,78.42064758967464
Mahatma Gandhi Institute Of Technology,40.05489307466046,1,2,50.19493235076887
Sha-Shib College Of Engineering,40.09057195002654,1,2,63.11366840336625
The Kavery Polytechnic College,40.0926986107709,1,0,74.96360714563423
Jai Narain Vyas University,40.10608891512992,1,0,46.129678601657616
Gautam Polytechnic Institute,40.12774334404826,1,0,67.09448720468441
Sri Satya Sai College Of Engineering,40.13919859237646,1,0,75.61826870406165
Venus Group Of Educational And Research Institute,40.1472002003909,1,1,44.38861179424551
Central Footwear Training Institute,40.15655438674053,1,1,53.539354414923466
Dharmsinh Desai University,40.17018176459107,1,0,75.84173360834177
Rane Polytechnic Technical Campus,40.17126621371455,1,0,76.47583207154653
Mar Baselios Institute Of Technology And Science,40.17315446552575,1,0,42.44586513637127
United College Of Engineering And Management,40.17676930329731,1,0,48.63078934029247
Banaras Institute Of Polytechnic And Engineering,40.18003745869568,1,0,76.94968216939245
Ravi Shankar Institute Of Technology And Management,40.18715903279968,1,0,72.68393700918269
S Thangapazham Polytechnic College,40.18742904836038,1,0,49.335517230915485
Npr Polytechnic College,40.193636385903936,1,0,50.09194890057064
Pr Patil College Of Engineering And Technology,40.195851436960886,1,1,79.77313528213642
Rajasthan College Of Engineering For Women,40.19792245992676,1,0,41.39451141042693
Guru Tegh Bahadur Institute Of Technology,40.20037399170163,1,0,40.98420805005247
Lucknow Institute Of Technology,40.20274289808189,1,0,74.75786576330748
Ies College Of Engineering,40.207369560890704,1,0,75.0038275910574
Swami Vivekanand University,40.21035008349616,1,0,45.28113440380197
Dr Daulatrao Aher College Of Engineering,40.21838828356808,1,1,70.31374631806754
Bvvs Polytechnic,40.2191775642324,1,1,72.39776701971658
University Of Kalyani,40.223051585693725,1,0,57.48554941678964
Sai Institute Of Technological Science,40.230624375699634,1,2,72.0657183592472
Pb College Of Engineering,40.23593054740081,1,1,47.58706379871892
